,Title,Date,State,Total Deaths,full place name
10318,"Herdsmen attack Taraba community, injure two farmers",3/9/21,Taraba,0,"Wukari, Taraba, Nigeria"
10319,Suspected herdsmen kill hunters in Ogun,3/6/21,Ogun,2,"Odogbolu, Ogun, Nigeria"
10320,"Bandits abduct over 100 miners, kill 10 in Zamfara",3/2/21,Zamfara,10,"Maru, Zamfara, Nigeria"
10321,Zamfara: Fresh Bandits Attack Kill 13 At Damaga,3/10/21,Zamfara,13,"Maradun, Zamfara, Nigeria"
10322,Gangs kill 17 in Nassarawa,3/10/21,Nassarawa,17,"Toto, Nassarawa, Nigeria"
10323,Armed Bandits Kill 2 Luxury Bus Drivers Along Lagos-Benin Express Road,3/10/21,Ondo,2,"Odigbo, Ondo, Nigeria"
10324,Gunmen Kidnap Five Members Of Same Family In Kogi,3/10/21,Kogi,0,"Kotonkar, Kogi, Nigeria"
10325,"2 students, lecturer of Tech Institute kidnapped in Edo",3/10/21,Edo,0,"EsanNort, Edo, Nigeria"
10326,Nigerian Troops Kill 10 Boko Haram Terrorists In Borno,3/10/21,Borno,10,"Marte, Borno, Nigeria"
10327,Gunman rains bullets on female student in Ekiti,3/10/21,Ekiti,0,"Ado-Ekiti, Ekiti, Nigeria"
10328,"Bandits Strike In Kaduna Again, Kill Seven, Rustle Cows",3/10/21,Kaduna,4,"Igabi, Kaduna, Nigeria"
10329,"Bandits Strike In Kaduna Again, Kill Seven, Rustle Cows",3/10/21,Kaduna,1,"Giwa, Kaduna, Nigeria"
10330,"Bandits Strike In Kaduna Again, Kill Seven, Rustle Cows",3/10/21,Kaduna,2,"Chikun, Kaduna, Nigeria"
10331,"One dead, another in coma as angry mob descends on child kidnappers",3/10/21,Anambra,1,"NnewiNort, Anambra, Nigeria"
10332,Gunmen kidnap 39 students in Nigeria in raid on college,3/11/21,Kaduna,0,"Igabi, Kaduna, Nigeria"
10333,5 killed as hoodlums attack masquerade in Ibadan,3/11/21,Oyo,5,"IbadanNorth, Oyo, Nigeria"
10334,Palm wine tapper hacked to death in Edo,3/11/21,Edo,1,"EtsakoWe, Edo, Nigeria"
